,id,position,name,age_years,gender,country,sector,corp.,worth_busd,image
1069,8367,1070,Eva Maria Bucher-Haefner,61,Female,None,Technology ,Computer Associates,2.3,https://specials-images.forbesimg.com/imageserve/5a7d1c54a7ea431690130e7f/416x416.jpg?background=000000&cropX1=681&cropX2=2599&cropY1=170&cropY2=2087
1070,6483,1071,Chen Hua,52,Male,None,Real Estate ,Real Estate,2.3,https://specials-images.forbesimg.com/imageserve/5a7bc51831358e4955ace3a9/416x416.jpg?background=000000&cropX1=6&cropX2=2735&cropY1=955&cropY2=3686
1071,9936,1072,Gustavo Denegri,82,Male,Italy,Healthcare ,Biotech,2.3,https://specials-images.forbesimg.com/imageserve/6dc3c89409cd980592f213524b3184bb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=24&cropY2=768
1072,6177,1073,Dermot Desmond,67,None,Ireland,Finance And Investments ,Finance,2.3,https://specials-images.forbesimg.com/imageserve/5a7f76b731358e4955ad1cfb/416x416.jpg?background=000000&cropX1=99&cropX2=979&cropY1=44&cropY2=924
1073,7586,1074,Murali Divi,67,Male,India,Healthcare ,Pharmaceuticals,2.3,https://specials-images.forbesimg.com/imageserve/9839b42fb571122aa4b8bafb23270c90/416x416.jpg?background=000000&cropX1=55&cropX2=696&cropY1=355&cropY2=996
1074,9280,1075,Thomas Flohr,48,Male,None,Logistics ,Vistajet,2.3,https://specials-images.forbesimg.com/imageserve/5a81c02ca7ea431690134bc2/416x416.jpg?background=000000&cropX1=382&cropX2=1089&cropY1=122&cropY2=829
1075,3881,1076,Bernard Fraisse,61,Male,None,Healthcare ,Pharmaceuticals,2.3,https://specials-images.forbesimg.com/imageserve/58c70d5b4bbe6f0e55888018/416x416.jpg?background=000000&cropX1=108&cropX2=623&cropY1=76&cropY2=592
1076,8806,1077,Harsh Goenka,60,Male,None,Diversified ,Diversified,2.3,https://specials-images.forbesimg.com/imageserve/57d88fc5a7ea430a8a19de14/416x416.jpg?background=000000&cropX1=0&cropX2=596&cropY1=205&cropY2=801
1077,6337,1078,David Gottesman,92,Male,Usa,Finance And Investments ,Investments,2.3,https://specials-images.forbesimg.com/imageserve/56d0c6cde4b0c144a7f65c04/416x416.jpg?background=000000&cropX1=16&cropX2=704&cropY1=6&cropY2=694
1078,5515,1079,Murli Dhar & Bimal Kumar Gyanchandani,-9999,Male,None,Manufacturing ,Detergents,2.3,https://specials-images.forbesimg.com/imageserve/56d0c6cde4b0c144a7f65c04/416x416.jpg?background=000000&cropX1=16&cropX2=704&cropY1=6&cropY2=694
1079,8358,1080,Bill Haslam,59,Male,None,Fashion & Retail ,Truck Stops,2.3,https://specials-images.forbesimg.com/imageserve/5a8deca3a7ea431690140e2c/416x416.jpg?background=000000&cropX1=620&cropX2=1454&cropY1=82&cropY2=916
1080,7697,1081,Hu Baifan,55,Male,None,Healthcare ,Pharmaceuticals,2.3,https://specials-images.forbesimg.com/imageserve/5a7cb6284bbe6f2652f508cd/416x416.jpg?background=000000&cropX1=2&cropX2=1125&cropY1=20&cropY2=1144
1081,8815,1082,W. Herbert Hunt,89,None,None,Energy ,Oil,2.3,https://specials-images.forbesimg.com/imageserve/8fb2161d3cd11b07d39227faf600d16f/416x416.jpg?background=000000&cropX1=200&cropX2=638&cropY1=11&cropY2=449
1082,3938,1083,Alijan Ibragimov,64,Male,Kazakhstan,Metals & Mining ,"Mining, Metals",2.3,https://specials-images.forbesimg.com/imageserve/5a7fbd0a4bbe6f2652f535a1/416x416.jpg?background=000000&cropX1=1097&cropX2=3120&cropY1=29&cropY2=2051
1083,5594,1084,Bradley Jacobs,61,None,None,Logistics ,Logistics,2.3,https://specials-images.forbesimg.com/imageserve/5a9ee3204bbe6f0fa82788fa/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=23&cropY2=1224
1084,8781,1085,Brad Kelley,61,Male,None,Real Estate ,Tobacco,2.3,https:http://specials-images.forbesimg.com/imageserve/5520633fa27facb88417bcf9fb84cd37/416x416.jpg?background=000000&cropX1=0&cropX2=1312&cropY1=209&cropY2=1520
1085,2269,1086,Vinod Khosla,63,Male,None,Technology ,Venture Capital,2.3,https://specials-images.forbesimg.com/imageserve/ae82f9419aa536b885e3bfd12cced2db/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=77&cropY2=821
1086,4287,1087,Stephen Lansdown,65,Male,None,Finance And Investments ,Financial Services,2.3,https://specials-images.forbesimg.com/imageserve/5a7e64044bbe6f2652f52a39/416x416.jpg?background=000000&cropX1=16&cropX2=4188&cropY1=215&cropY2=4388
1087,3188,1088,Martin Lau,45,Male,None,Technology ,E-Commerce,2.3,https://specials-images.forbesimg.com/imageserve/5a7e720a31358e4955ad146c/416x416.jpg?background=000000&cropX1=86&cropX2=1956&cropY1=11&cropY2=1882
1088,8593,1089,Lee Joong-Keun,77,Male,South Korea,Construction & Engineering ,"Construction, Real Estate",2.3,https://specials-images.forbesimg.com/imageserve/5b15af1c31358e612fbb1f30/416x416.jpg?background=000000&cropX1=210&cropX2=1343&cropY1=3&cropY2=1137
1089,7821,1090,Lin Li,55,Male,None,Finance And Investments ,Investments,2.3,https://specials-images.forbesimg.com/imageserve/58c338ac4bbe6f0e55885d28/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=118&cropY2=862
